Column Name,Data Type,Description,Constraints,Index
receipt_id,TEXT,Receipt Identifier,PRIMARY KEY,NOT NULL
user_id,TEXT,User Identifier,PRIMARY KEY,NOT NULL
partner_item_id,TEXT,,PRIMARY KEY,NOT NULL
item_description_mod,TEXT,Best available item name or description,None,None
item_number_mod,TEXT,Best available item number,None,None
item_price_mod,"NUMERIC(10,2)",Best available item price,None,None
discounted_item_price,"NUMERIC(10,2)",Not documented,None,None
price_after_coupon,"NUMERIC(10,2)",Not documented,None,None
target_price,"NUMERIC(10,2)",Not documented,None,None
final_price_mod,"NUMERIC(10,2)",Best available final price,None,None
quantity_purchased_mod,INTEGER,Best available quantity purchased,None,None
rewards_group_mod,TEXT,Best available rewards group,None,None
rewards_product_partner_id,TEXT,Not documented,None,None
points_earned,"NUMERIC(10,2)",Not documented,None,None
points_not_awarded_reason,TEXT,Not documented,None,None
points_payer_id,TEXT,Not documented,None,None
prevent_target_gap_points,BOOLEAN,Not documented,None,None
deleted,BOOLEAN,Not documented,None,None
metabrite_campaign_id,TEXT,Not documented,None,None
needs_fetch_review,BOOLEAN,Not documented,None,None
needs_fetch_review_reason,TEXT,Not documented,None,None
user_flagged_new_item,BOOLEAN,Not documented,None,None
competitive_product,TEXT,Not documented,None,None
system_modify_date,TIMESTAMP,Last modification timestamp,DEFAULT CURRENT_TIMESTAMP,None
