"Column Name","Data Type","Description"
"receipt_id","TEXT","Unique identifier for the receipt"
"total_spent","NUMERIC(10,2)","Total amount spent on the receipt"
"purchased_item_count","INTEGER","Total number of items purchased in the transaction"
"purchase_date","TIMESTAMP","Date of purchase"
"date_scanned","TIMESTAMP","Date the receipt was scanned"
"finish_date","TIMESTAMP","Date the receipt processing was completed"
"create_date","TIMESTAMP","Date the receipt entry was created"
"modify_date","TIMESTAMP","Date of last modification to the receipt"
"rewards_status","VARCHAR(150)","Status of the receipt in the rewards system"
"points_earned","NUMERIC(10,2)","Points earned from the transaction"
"bonus_points_earned","NUMERIC(10,2)","Additional bonus points awarded"
"bonus_earned_reason","TEXT","Reason for awarding bonus points"
"points_award_date","TIMESTAMP","Date the reward points were awarded"
"user_id","TEXT","Identifier for the user who submitted the receipt"
"system_modify_date","TIMESTAMP","Timestamp for when the record was last modified"
