"Column Name","Data Type","Description"
"brand_code","TEXT","Unique brand identifier"
"purchase_year","INTEGER","Year of the purchase date"
"purchase_month","INTEGER","Month of the purchase date"
"total_spend","NUMERIC(12,2)","Total amount spent per brand"
"total_items_purchased","INTEGER","Total number of items purchased per brand"
"total_receipt_count","INTEGER","Total number of unique receipts associated with the brand"
"new_users_spend","NUMERIC(12,2)","Total spend from new users created in the last six months"
"new_user_items_purchased","INTEGER","Total number of items purchased by new users"
"new_user_receipt_count","INTEGER","Total number of unique receipts from new users"
"system_modify_date","TIMESTAMP","Timestamp indicating when the record was last updated"
