"brand_code","total_spend","total_items_purchased","total_receipt_count","new_users_spend","new_user_items_purchased","new_user_receipt_count","purchase_year","purchase_month","system_modify_date"
ARNOLD,4.99,1,1,4.99,1,1,2021,1,2025-02-13 07:55:21.649
CHEETOS,66.00,6,3,66.00,6,3,2021,1,2025-02-13 07:55:21.649
CLASSICO,20.94,6,2,20.94,6,2,2021,1,2025-02-13 07:55:21.649
COOL WHIP,10.32,4,2,10.32,4,2,2021,1,2025-02-13 07:55:21.649
CRACKER BARREL,703.50,25,4,703.50,25,4,2021,1,2025-02-13 07:55:21.649
DOLE CHILLED FRUIT JUICES,21.32,14,11,21.32,14,11,2021,1,2025-02-13 07:55:21.649
DORITOS,323.64,78,12,323.64,78,12,2021,1,2025-02-13 07:55:21.649
GREY POUPON,3.29,1,1,3.29,1,1,2021,1,2025-02-13 07:55:21.649
HELLMANN'S/BEST FOODS,34.24,8,3,34.24,8,3,2021,1,2025-02-13 07:55:21.649
JELL-O,59.76,16,3,59.76,16,3,2021,1,2025-02-13 07:55:21.649
KETTLE BRAND,16.08,6,3,16.08,6,3,2021,1,2025-02-13 07:55:21.649
KLEENEX,371.39,113,17,356.07,108,15,2021,1,2025-02-13 07:55:21.649
KLONDIKE,5.00,1,1,5.00,1,1,2021,1,2025-02-13 07:55:21.649
KNORR,548.18,305,15,543.32,302,14,2021,1,2025-02-13 07:55:21.649
KRAFT,74.33,28,14,74.33,28,14,2021,1,2025-02-13 07:55:21.649
LUNCHABLES,15.98,2,2,15.98,2,2,2021,1,2025-02-13 07:55:21.649
MOUNTAIN DEW,107.88,6,3,107.88,6,3,2021,1,2025-02-13 07:55:21.649
NATURE VALLEY,1.69,1,1,1.69,1,1,2021,1,2025-02-13 07:55:21.649
PEPPERIDGE FARM,23.50,8,3,23.50,8,3,2021,1,2025-02-13 07:55:21.649
PEPSI,250.39,189,16,250.39,189,16,2021,1,2025-02-13 07:55:21.649
PLANTERS,59.96,4,3,59.96,4,3,2021,1,2025-02-13 07:55:21.649
PREGO,5.38,2,1,5.38,2,1,2021,1,2025-02-13 07:55:21.649
QUAKER,3.99,1,1,3.99,1,1,2021,1,2025-02-13 07:55:21.649
RICE-A-RONI,28.56,24,12,28.56,24,12,2021,1,2025-02-13 07:55:21.649
STOVE TOP,4.38,2,1,4.38,2,1,2021,1,2025-02-13 07:55:21.649
SWANSON,61.38,22,11,61.38,22,11,2021,1,2025-02-13 07:55:21.649
TOSTITOS,80.66,23,11,80.66,23,11,2021,1,2025-02-13 07:55:21.649
V8,54.90,10,2,54.90,10,2,2021,1,2025-02-13 07:55:21.649
VELVEETA,35.94,6,3,35.94,6,3,2021,1,2025-02-13 07:55:21.649
YUBAN,65.89,11,11,65.89,11,11,2021,1,2025-02-13 07:55:21.649
